,0
0,Arkansas
1,Connecticut
2,Delaware
3,Idaho
4,Indiana
5,Iowa
6,Kentucky
7,Maine
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Montana
14,Nebraska
15,New Hampshire
16,New Jersey
17,North Dakota
18,Oklahoma
19,Rhode Island
20,South Dakota
21,Tennessee
22,Vermont
23,Washington
24,West Virginia
25,Wisconsin
26,Wyoming
